,colon_aca,colon_n,lung_aca,lung_n,lung_scc,macro_auc
VGG16,0.9976898449224613,0.9990315157578789,0.9821360680340171,0.9998849424712356,0.9890390781563126,0.9935562898683811
ResNet50,0.9991745872936469,0.9998279139569785,0.9950745372686344,0.9999899949974987,0.9956543086172346,0.9979442684267987
MobileNetV3,1.0,1.0,1.0,1.0,1.0,1.0
ViT_Base,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0
ConvNeXt_Tiny,1.0,1.0,1.0,1.0,1.0,1.0
FSPAN_Y,1.0,0.9999999999999999,0.9999559779889945,1.0,0.9999899799599199,0.9999891915897828
EfficientNet_B0,1.0,1.0,0.9999989994997499,1.0,0.9999989979959919,0.9999995994991483
DenseNet121,1.0,1.0,1.0,1.0,1.0,1.0
MSCA_Net,1.0,1.0,0.9999699849924962,0.9999999999999999,0.9999679358717436,0.999987584172848
EfficientNet_B3,1.0,1.0,0.9999989994997499,1.0,0.9999989979959919,0.9999995994991483
Swin_Tiny,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0
DPCT_Net,1.0,1.0,0.9999889944972487,1.0,0.9999899799599199,0.9999957948914338
