Model,Accuracy,F1 (macro),Total Params (M),Trainable Params (M),Inference (ms)
ViT_Base,1.0,1.0,85.802501,85.802501,13.118342979799342
MobileNetV3,1.0,1.0,1.522981,1.522981,1.2165386591279557
DenseNet121,1.0,1.0,6.958981,6.958981,2.336368530611449
ConvNeXt_Tiny,0.9995998399359743,0.9995999995999997,27.823973,27.823973,19.01381437662785
Swin_Tiny,0.9995998399359743,0.9995995979947836,27.523199,27.523199,2.3716485701532806
EfficientNet_B3,0.9991996798719488,0.9991991983967937,10.703917,10.703917,1.838838909497241
DPCT_Net,0.9991996798719488,0.9991991983967937,56.130529,0.791047,4.27228724780465
EfficientNet_B0,0.9991996798719488,0.9991991919774907,4.013953,4.013953,1.181061037733585
FSPAN_Y,0.9983993597438976,0.998398394383951,30.572678,2.754086,14.546407551705084
MSCA_Net,0.9979991996798719,0.9979979899739178,28.414408,0.595816,6.419535239034565
ResNet50,0.9635854341736695,0.9635924707018286,23.518277,0.010245,3.046335330240837
VGG16,0.9275710284113645,0.9271022888714068,134.281029,0.020485,4.999499154996268
