Model,Test Accuracy,Precision (macro),Recall (macro),F1 (macro),Precision (weighted),Recall (weighted),F1 (weighted),Cohen Kappa,MCC,Inference (ms/img),Total Params,Trainable Params,Best Val Acc
ViT_Base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.118342979799342,85802501,85802501,0.9997779258272262
MobileNetV3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2165386591279557,1522981,1522981,1.0
DenseNet121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.336368530611449,6958981,6958981,1.0
ConvNeXt_Tiny,0.9995998399359743,0.9996007984031936,0.9996,0.9995999995999997,0.999600638658657,0.9995998399359743,0.9995998395358138,0.9994997998398719,0.9994999998999399,19.01381437662785,27823973,27823973,1.0
Swin_Tiny,0.9995998399359743,0.9996007984031936,0.9995991983967937,0.9995995979947836,0.999600638658657,0.9995998399359743,0.9995998391340479,0.9994997997397518,0.9994999997999199,2.3716485701532806,27523199,27523199,1.0
EfficientNet_B3,0.9991996798719488,0.9991991983967937,0.9991991983967937,0.9991991983967937,0.9991996798719488,0.9991996798719488,0.9991996798719488,0.9989995996797438,0.9989995996797438,1.838838909497241,10703917,10703917,1.0
DPCT_Net,0.9991996798719488,0.9991991983967937,0.9991991983967937,0.9991991983967937,0.9991996798719488,0.9991996798719488,0.9991996798719488,0.9989995996797438,0.9989995996797438,4.27228724780465,56130529,791047,0.9988891357476116
EfficientNet_B0,0.9991996798719488,0.999203187250996,0.9991983967935871,0.9991991919774907,0.9992028683983554,0.9991996798719488,0.9991996750603662,0.9989995992792631,0.9990003991204953,1.181061037733585,4013953,4013953,0.9997778271495223
FSPAN_Y,0.9983993597438976,0.9983991919774908,0.9983983967935872,0.998398394383951,0.998399354932315,0.9983993597438976,0.9983989575778146,0.997999198959007,0.9979993987188145,14.546407551705084,30572678,2754086,0.998445480790584
MSCA_Net,0.9979991996798719,0.9979991823581752,0.9979975951903807,0.9979979899739178,0.9979999887793897,0.9979991996798719,0.9979991956702401,0.9974989986987588,0.997499198358446,6.419535239034565,28414408,595816,0.9977782714952232
ResNet50,0.9635854341736695,0.9636407726071858,0.9635727454909819,0.9635924707018286,0.9636571878632837,0.9635854341736695,0.9636070261743123,0.9544818309829554,0.9544888998684177,3.046335330240837,23518277,10245,0.9669109482567178
VGG16,0.9275710284113645,0.9274934949178638,0.9275430861723446,0.9271022888714068,0.9274994627200092,0.9275710284113645,0.9271194176301946,0.9094632273612532,0.9096640845276923,4.999499154996268,134281029,20485,0.9327115256495669
