Model,Clean Acc,Stain Acc,Acc Drop,Relative Drop %,Stain F1 (macro)
ConvNeXt_Tiny,0.9995998399359743,0.985594237695078,0.014005602240896309,1.401120896717369,0.9855631739703148
FSPAN_Y,0.9983993597438976,0.9811924769907964,0.017206882753101227,1.7234468937875738,0.9811421694859573
Swin_Tiny,0.9995998399359743,0.9739895958383353,0.025610244097639012,2.562049639711765,0.9740560814025342
MSCA_Net,0.9979991996798719,0.9727891156462585,0.025210084033613467,2.5260625501202907,0.9724564982712887
DPCT_Net,0.9991996798719488,0.9707883153261304,0.028411364545818385,2.843412094513422,0.9707518111688623
DenseNet121,1.0,0.9699879951980792,0.03001200480192079,3.001200480192079,0.9699429874323673
MobileNetV3,1.0,0.9623849539815926,0.03761504601840737,3.761504601840737,0.9620951102608671
EfficientNet_B0,0.9991996798719488,0.9539815926370548,0.045218087234893956,4.525430516619943,0.9539507110084159
EfficientNet_B3,0.9991996798719488,0.9467787114845938,0.052420968387354994,5.246295554665604,0.9473831348770109
ViT_Base,1.0,0.9339735894357744,0.06602641056422565,6.602641056422565,0.934084851852267
VGG16,0.9275710284113645,0.8879551820728291,0.03961584633853543,4.270923209663505,0.8872644491256821
ResNet50,0.9635854341736695,0.8875550220088035,0.07603041216486595,7.8903654485049834,0.8859047636172415
